"country","iso3c","total_obs","missing_obs","completeness_rate"
"Iraq","IRQ",519486,501652,3.4
"Madagascar","MDG",519486,501937,3.4
"Azerbaijan","AZE",519486,501097,3.5
"Canada","CAN",519486,501074,3.5
"Central African Republic","CAF",519486,501406,3.5
"Nigeria","NGA",519486,501232,3.5
"Sri Lanka","LKA",519486,501397,3.5
"West Bank and Gaza","PSE",519486,501115,3.5
"Congo, Dem. Rep.","COD",519486,500702,3.6
"Guinea","GIN",519486,500595,3.6
"Japan","JPN",519486,500891,3.6
"Maldives","MDV",519486,500980,3.6
"Brunei Darussalam","BRN",519486,500370,3.7
"Ethiopia","ETH",519486,500457,3.7
"Namibia","NAM",519486,500168,3.7
"Russian Federation","RUS",519486,500277,3.7
"Sierra Leone","SLE",519486,500492,3.7
"Viet Nam","VNM",519486,500370,3.7
"Zimbabwe","ZWE",519486,500277,3.7
"Croatia","HRV",519486,499602,3.8
"India","IND",519486,499600,3.8
"Jamaica","JAM",519486,499520,3.8
"Mauritania","MRT",519486,499625,3.8
"Nicaragua","NIC",519486,499717,3.8
"United Arab Emirates","ARE",519486,499976,3.8
"United States","USA",519486,499891,3.8
"Algeria","DZA",519486,499181,3.9
"Belize","BLZ",519486,499391,3.9
"Congo, Rep.","COG",519486,499246,3.9
"Guyana","GUY",519486,499465,3.9
"South Africa","ZAF",519486,499131,3.9
"Tajikistan","TJK",519486,499467,3.9
"Uganda","UGA",519486,499187,3.9
"Australia","AUS",519486,498854,4
"Kenya","KEN",519486,498739,4
"Macao SAR, China","MAC",519486,498923,4
"Mauritius","MUS",519486,498484,4
"New Zealand","NZL",519486,498470,4
"Ukraine","UKR",519486,498718,4
"Zambia","ZMB",519486,498759,4
"Albania","ALB",519486,497954,4.1
"Armenia","ARM",519486,498396,4.1
"Luxembourg","LUX",519486,498014,4.1
"Malaysia","MYS",519486,498014,4.1
"Nepal","NPL",519486,498308,4.1
"Tanzania","TZA",519486,497968,4.1
"Venezuela, RB","VEN",519486,498171,4.1
"Burkina Faso","BFA",519486,497683,4.2
"Cambodia","KHM",519486,497681,4.2
"Estonia","EST",519486,497868,4.2
"Gambia, The","GMB",519486,497412,4.2
"Germany","DEU",519486,497632,4.2
"Iran, Islamic Rep.","IRN",519486,497825,4.2
