"indicator","total_obs","missing_obs","completeness_rate"
"SE.LPV.PRIM.LD.MA",17490,17205,1.6
"SE.LPV.PRIM.SD.FE",17490,17205,1.6
"SE.LPV.PRIM.SD.MA",17490,17205,1.6
"SL.TLF.0714.FE.ZS",17490,17209,1.6
"SL.TLF.0714.MA.ZS",17490,17209,1.6
"SL.TLF.0714.SW.ZS",17490,17209,1.6
"SL.TLF.0714.WK.ZS",17490,17208,1.6
"SL.TLF.0714.ZS",17490,17209,1.6
"DT.NFL.SDGF.CD",17490,17206,1.6
"SE.LPV.PRIM.FE",17490,17187,1.7
"SE.LPV.PRIM.MA",17490,17187,1.7
"SH.MLR.NETS.ZS",17490,17185,1.7
"SH.MLR.TRET.ZS",17490,17169,1.8
"SP.DYN.WFRT",17490,17167,1.8
"IC.FRM.CRDC.FL.ZS",17490,17166,1.9
"IC.FRM.CRDC.PT.ZS",17490,17166,1.9
"IC.FRM.NPRD.ZS",17490,17165,1.9
"SM.POP.OPIP.EA",17490,17153,1.9
"SP.HOU.FEMA.ZS",17490,17159,1.9
"DT.NFL.SPRP.CD",17490,17151,1.9
"SH.MED.SAOP.P5",17490,17148,2
"SI.RMT.COST.OB.ZS",17490,17137,2
"IE.PPI.ICTI.CD",17490,17123,2.1
"SE.LPV.PRIM.LD",17490,17126,2.1
"SP.MTR.1519.ZS",17490,17122,2.1
"SP.REG.BRTH.RU.ZS",17490,17128,2.1
"SP.REG.BRTH.UR.ZS",17490,17128,2.1
"SE.LPV.PRIM",17490,17108,2.2
"IE.PPI.WATR.CD",17490,17080,2.3
"IE.PPN.WATR.CD",17490,17067,2.4
"SN.ITK.SALT.ZS",17490,17062,2.4
"SP.M15.2024.FE.ZS",17490,17065,2.4
"SH.STA.ARIC.ZS",17490,17052,2.5
"IC.FRM.FEMM.ZS",17490,17023,2.7
"per_sa_allsa.adq_pop_tot",17490,17011,2.7
"per_sa_allsa.ben_q1_tot",17490,17010,2.7
"SH.STA.ORCF.ZS",17490,17015,2.7
"SP.M18.2024.FE.ZS",17490,17025,2.7
"per_si_allsi.adq_pop_tot",17490,16994,2.8
"per_si_allsi.ben_q1_tot",17490,16993,2.8
"IC.ELC.OUTG.ZS",17490,16975,2.9
"IC.FRM.BNKL.ZS",17490,16975,2.9
"IC.FRM.FO.ZS",17490,16975,2.9
"IC.FRM.FREG.ZS",17490,16986,2.9
"IC.FRM.OUTG.ZS",17490,16975,2.9
"IC.TAX.METG",17490,16975,2.9
"EN.BIR.THRD.NO",17490,16967,3
"EN.FSH.THRD.NO",17490,16967,3
"HD_HCIP_OVRL_FE",17490,16963,3
"HD_HCIP_OVRL_MA",17490,16962,3
"IC.FRM.BRIB.ZS",17490,16960,3
"IC.FRM.CMPU.ZS",17490,16970,3
"IC.FRM.EXS.ZS",17490,16974,3
"IC.FRM.METG.ZS",17490,16974,3
"per_si_allsi.cov_pop_tot",17490,16968,3
"per_si_allsi.cov_q1_tot",17490,16968,3
"per_si_allsi.cov_q3_tot",17490,16968,3
"per_si_allsi.cov_q4_tot",17490,16968,3
"per_si_allsi.cov_q5_tot",17490,16968,3
"SH.STA.DIAB.ZS",17490,16967,3
"IC.FRM.DURS",17490,16956,3.1
"per_allsp.adq_pop_tot",17490,16947,3.1
"per_allsp.ben_q1_tot",17490,16946,3.1
"DT.NFL.CERF.CD",17490,16945,3.1
"IC.FRM.FEMO.ZS",17490,16925,3.2
"per_sa_allsa.cov_pop_tot",17490,16925,3.2
"per_sa_allsa.cov_q1_tot",17490,16925,3.2
"per_sa_allsa.cov_q2_tot",17490,16925,3.2
"per_sa_allsa.cov_q3_tot",17490,16925,3.2
"per_sa_allsa.cov_q4_tot",17490,16925,3.2
"per_sa_allsa.cov_q5_tot",17490,16925,3.2
"HD_HCIP_EDUC_FE",17490,16913,3.3
"HD_HCIP_EDUC_MA",17490,16911,3.3
"HD_HCIP_OVRL_TO",17490,16913,3.3
"IC.CUS.DURS.EX",17490,16910,3.3
"IC.FRM.BKWC.ZS",17490,16917,3.3
"HD_HCIP_EDUC_TO",17490,16897,3.4
"IC.CUS.DURS.IM",17490,16899,3.4
"IC.ELC.DURS",17490,16897,3.4
"IC.FRM.BNKS.ZS",17490,16889,3.4
"IC.FRM.CORR.ZS",17490,16895,3.4
"IC.FRM.TRNG.ZS",17490,16891,3.4
"IC.GOV.DURS.ZS",17490,16891,3.4
"IC.TAX.GIFT.ZS",17490,16892,3.4
"HD_HCIP_OTJL_FE",17490,16874,3.5
"HD_HCIP_OTJL_MA",17490,16874,3.5
"per_allsp.cov_pop_tot",17490,16880,3.5
"SP.REG.BRTH.ZS",17490,16837,3.7
"SP.REG.DTHS.ZS",17490,16821,3.8
"VC.IDP.NWCV",17490,16813,3.9
"HD_HCIP_OTJL_TO",17490,16797,4
"SE.TER.CUAT.DO.FE.ZS",17490,16790,4
"SP.UWT.TFRT",17490,16776,4.1
"FX.OWN.TOTL.40.ZS",17490,16725,4.4
"FX.OWN.TOTL.60.ZS",17490,16725,4.4
"FX.OWN.TOTL.FE.ZS",17490,16712,4.4
"FX.OWN.TOTL.MA.ZS",17490,16712,4.4
"FX.OWN.TOTL.OL.ZS",17490,16712,4.4
"FX.OWN.TOTL.PL.ZS",17490,16713,4.4
"FX.OWN.TOTL.SO.ZS",17490,16713,4.4
"FX.OWN.TOTL.YG.ZS",17490,16712,4.4
"AG.LND.EL5M.RU.K2",17490,16704,4.5
"AG.LND.EL5M.RU.ZS",17490,16704,4.5
"AG.LND.EL5M.UR.K2",17490,16704,4.5
"AG.LND.EL5M.UR.ZS",17490,16704,4.5
"AG.LND.EL5M.ZS",17490,16704,4.5
"AG.LND.TOTL.RU.K2",17490,16704,4.5
"EN.POP.EL5M.ZS",17490,16704,4.5
"AG.LND.TOTL.UR.K2",17490,16704,4.5
"SE.TER.CUAT.DO.MA.ZS",17490,16709,4.5
"SH.STA.BFED.ZS",17490,16709,4.5
"SI.RMT.COST.IB.ZS",17490,16710,4.5
"FX.OWN.TOTL.ZS",17490,16686,4.6
"DT.ODA.OATL.CD",17490,16667,4.7
"DT.ODA.OATL.KD",17490,16667,4.7
"HD_HCIP_HLTH_FE",17490,16670,4.7
"HD_HCIP_HLTH_MA",17490,16670,4.7
"HD_HCIP_HLTH_TO",17490,16670,4.7
"SE.TER.CUAT.DO.ZS",17490,16672,4.7
"SH.STA.OWGH.FE.ZS",17490,16595,5.1
"SH.STA.OWGH.MA.ZS",17490,16595,5.1
"LP.IMP.DURS.MD",17490,16583,5.2
"LP.EXP.DURS.MD",17490,16568,5.3
"SH.STA.MALN.FE.ZS",17490,16567,5.3
"SH.STA.MALN.MA.ZS",17490,16567,5.3
"SH.STA.STNT.FE.ZS",17490,16571,5.3
"SH.STA.STNT.MA.ZS",17490,16571,5.3
"SH.STA.WAST.FE.ZS",17490,16562,5.3
"SH.STA.WAST.MA.ZS",17490,16562,5.3
"SH.SVR.WAST.FE.ZS",17490,16569,5.3
"SH.SVR.WAST.MA.ZS",17490,16569,5.3
"IE.PPI.TRAN.CD",17490,16522,5.5
"IE.PPN.TRAN.CD",17490,16533,5.5
"NV.FSM.TOTL.KN",17490,16456,5.9
"NY.GSR.NFCY.KN",17490,16452,5.9
"SH.STA.OWGH.ZS",17490,16453,5.9
"SE.TER.CUAT.MS.FE.ZS",17490,16444,6
"FS.AST.DOMO.GD.ZS",17490,16420,6.1
"SH.STA.ANVC.ZS",17490,16428,6.1
"SH.STA.ORTH",17490,16430,6.1
"DT.NFL.PNGB.CD",17490,16423,6.1
"SE.TER.CUAT.MS.MA.ZS",17490,16409,6.2
"SE.TER.CUAT.MS.ZS",17490,16395,6.3
"DC.DAC.ESTL.CD",17490,16394,6.3
"SI.POV.MPWB",17490,16385,6.3
"SH.STA.STNT.ZS",17490,16360,6.5
"DT.NFL.IMFC.CD",17490,16322,6.7
"SH.STA.MMRT.NE",17490,16294,6.8
"AG.LND.IRIG.AG.ZS",17490,16262,7
"SE.SEC.TCAQ.UP.FE.ZS",17490,16246,7.1
"SE.SEC.TCAQ.UP.MA.ZS",17490,16246,7.1
"SH_UHC_FH40_FURTHER",17490,16228,7.2
"SH_UHC_FH40_PUSHED",17490,16228,7.2
"DC.DAC.SVNL.CD",17490,16215,7.3
"DT.NFL.FAOG.CD",17490,16215,7.3
"SP.DYN.CONM.ZS",17490,16187,7.4
"SH.SVR.WAST.ZS",17490,16175,7.5
"SM.POP.RRWA.EA",17490,16170,7.5
"SP.POP.TECH.RD.P6",17490,16184,7.5
"SH_UHC_FH40_IMPOV",17490,16153,7.6
"SH_UHC_FH40_LARGE",17490,16153,7.6
"SE.SEC.TCAQ.UP.ZS",17490,16136,7.7
"SH_UHC_FH40",17490,16130,7.8
"DC.DAC.LTUL.CD",17490,16124,7.8
"DC.DAC.SVKL.CD",17490,16121,7.8
"SP.DYN.CONU.ZS",17490,16127,7.8
"SE.SEC.TCAQ.LO.FE.ZS",17490,16101,7.9
"SE.SEC.TCAQ.LO.MA.ZS",17490,16102,7.9
"LP.LPI.CUST.XQ",17490,16090,8
"LP.LPI.INFR.XQ",17490,16090,8
"LP.LPI.ITRN.XQ",17490,16090,8
"LP.LPI.LOGS.XQ",17490,16090,8
"LP.LPI.OVRL.XQ",17490,16090,8
"LP.LPI.TIME.XQ",17490,16090,8
"LP.LPI.TRAC.XQ",17490,16090,8
"SE.TER.CUAT.BA.FE.ZS",17490,16089,8
"SE.TER.CUAT.BA.MA.ZS",17490,16096,8
"SE.TER.CUAT.BA.ZS",17490,16087,8
"SH.DTH.COMM.ZS",17490,16098,8
"SH.DTH.INJR.ZS",17490,16098,8
"SH.DTH.NCOM.ZS",17490,16098,8
"SH.DTH.OCVD.ZS",17490,16098,8
"SN.ITK.MSFI.ZS",17490,16096,8
"DC.ODA.TLDC.GN.ZS",17490,16036,8.3
"SH.STA.MALN.ZS",17490,16013,8.4
"SE.SEC.TCAQ.LO.ZS",17490,16001,8.5
"SH.STA.WAST.ZS",17490,16011,8.5
"DC.ODA.TLDC.CD",17490,15995,8.5
"VC.BTL.DETH",17490,15997,8.5
"SE.SEC.CUAT.PO.FE.ZS",17490,15970,8.7
"SE.SEC.CUAT.PO.MA.ZS",17490,15970,8.7
"SE.SEC.CUAT.PO.ZS",17490,15958,8.8
"IT.NET.USER.FE.ZS",17490,15931,8.9
"IT.NET.USER.MA.ZS",17490,15929,8.9
"GC.TAX.EXPT.CN",17490,15890,9.1
"GC.TAX.EXPT.ZS",17490,15898,9.1
"SE.PRE.TCAQ.MA.ZS",17490,15899,9.1
"SN.ITK.VITA.ZS",17490,15893,9.1
"NV.FSM.TOTL.CN",17490,15883,9.2
"IE.PPI.ENGY.CD",17490,15863,9.3
"DC.ODA.TOTL.CD",17490,15868,9.3
"DC.ODA.TOTL.KD",17490,15868,9.3
"GC.DOD.TOTL.CN",17490,15840,9.4
"IQ.SPI.OVRL",17490,15841,9.4
"SM.POP.IDPC",17490,15852,9.4
"IQ.SPI.PIL2",17490,15828,9.5
"SE.XPD.SECO.PC.ZS",17490,15813,9.6
"FS.AST.DOMS.GD.ZS",17490,15790,9.7
"FP.WPI.TOTL",17490,15784,9.8
"SE.XPD.TERT.PC.ZS",17490,15771,9.8
"IQ.SPI.PIL5",17490,15744,10
"SE.SEC.TCAQ.FE.ZS",17490,15722,10.1
"SE.SEC.TCAQ.MA.ZS",17490,15722,10.1
"IQ.SPI.PIL4",17490,15705,10.2
"SE.PRE.TCAQ.FE.ZS",17490,15706,10.2
"SL.EMP.SMGT.FE.ZS",17490,15700,10.2
"GC.DOD.TOTL.GD.ZS",17490,15692,10.3
"SE.XPD.PRIM.PC.ZS",17490,15584,10.9
"SH.PRV.SMOK",17490,15582,10.9
"SH.PRV.SMOK.FE",17490,15582,10.9
"SH.PRV.SMOK.MA",17490,15582,10.9
"SE.SEC.TCAQ.ZS",17490,15550,11.1
"SE.PRE.TCAQ.ZS",17490,15538,11.2
"SE.PRM.NINT.FE.ZS",17490,15530,11.2
"SE.PRM.NINT.MA.ZS",17490,15536,11.2
"SE.XPD.CTER.ZS",17490,15460,11.6
"DC.DAC.HUNL.CD",17490,15435,11.7
"SE.SEC.CUAT.LO.FE.ZS",17490,15421,11.8
"SH.STA.HYGN.UR.ZS",17490,15426,11.8
"SE.SEC.CUAT.LO.MA.ZS",17490,15401,11.9
"SE.XPD.CPRM.ZS",17490,15413,11.9
"DT.NFL.ILOG.CD",17490,15411,11.9
"IP.TMK.RSCT",17490,15386,12
"SE.SEC.CUAT.LO.ZS",17490,15398,12
"SE.XPD.CSEC.ZS",17490,15386,12
"SH.STA.HYGN.RU.ZS",17490,15396,12
"SM.POP.TOTL",17490,15394,12
"SM.POP.TOTL.ZS",17490,15386,12
"IP.TMK.NRCT",17490,15370,12.1
"DC.DAC.ISLL.CD",17490,15365,12.1
"IS.RRS.TOTL.KM",17490,15351,12.2
"SE.XPD.CTOT.ZS",17490,15364,12.2
"DT.NFL.WHOL.CD",17490,15318,12.4
"SH.STA.HYGN.ZS",17490,15313,12.4
"CM.MKT.INDX.ZG",17490,15296,12.5
"FB.CBK.DPTR.P3",17490,15241,12.9
"SE.TER.CUAT.ST.FE.ZS",17490,15237,12.9
"SE.TER.CUAT.ST.MA.ZS",17490,15229,12.9
"SE.TER.CUAT.ST.ZS",17490,15209,13
"FB.BNK.CAPA.ZS",17490,15189,13.2
"EN.ATM.PM25.MC.T1.ZS",17490,15162,13.3
"EN.ATM.PM25.MC.T2.ZS",17490,15162,13.3
"EN.ATM.PM25.MC.T3.ZS",17490,15162,13.3
"DT.NFL.BOND.CD",17490,15141,13.4
"FB.AST.NPER.ZS",17490,15133,13.5
"GF.XPD.BUDG.ZS",17490,15122,13.5
"VC.IDP.NWDS",17490,15121,13.5
"FB.CBK.BRWR.P3",17490,15103,13.6
"SE.PRM.CUAT.FE.ZS",17490,15106,13.6
"SH.HIV.PMTC.ZS",17490,15096,13.7
"SE.PRM.CUAT.ZS",17490,15069,13.8
"SI.DST.50MD",17490,15083,13.8
"EN.POP.SLUM.UR.ZS",17490,15067,13.9
"SI.DST.02ND.20",17490,15060,13.9
"SI.DST.03RD.20",17490,15060,13.9
"SI.DST.04TH.20",17490,15060,13.9
"SI.DST.05TH.20",17490,15060,13.9
"SI.DST.10TH.10",17490,15060,13.9
"SI.DST.FRST.10",17490,15060,13.9
"SI.DST.FRST.20",17490,15060,13.9
"SI.POV.GINI",17490,15060,13.9
"DC.DAC.POLL.CD",17490,15051,13.9
"DT.NFL.UNAI.CD",17490,15060,13.9
"IQ.CPA.BREG.XQ",17490,15034,14
"IQ.CPA.DEBT.XQ",17490,15034,14
"IQ.CPA.ECON.XQ",17490,15034,14
"IQ.CPA.ENVR.XQ",17490,15034,14
"IQ.CPA.FINQ.XQ",17490,15034,14
"IQ.CPA.FINS.XQ",17490,15034,14
"IQ.CPA.FISP.XQ",17490,15034,14
"IQ.CPA.GNDR.XQ",17490,15034,14
"IQ.CPA.HRES.XQ",17490,15034,14
"IQ.CPA.IRAI.XQ",17490,15034,14
"IQ.CPA.MACR.XQ",17490,15034,14
"IQ.CPA.PADM.XQ",17490,15034,14
"IQ.CPA.PRES.XQ",17490,15034,14
"IQ.CPA.PROP.XQ",17490,15034,14
"IQ.CPA.PROT.XQ",17490,15042,14
"IQ.CPA.PUBS.XQ",17490,15034,14
"IQ.CPA.REVN.XQ",17490,15034,14
"IQ.CPA.SOCI.XQ",17490,15039,14
"IQ.CPA.STRC.XQ",17490,15034,14
"IQ.CPA.TRAD.XQ",17490,15034,14
"IQ.CPA.TRAN.XQ",17490,15034,14
"SE.SEC.CUAT.UP.FE.ZS",17490,15043,14
"DC.DAC.CZEL.CD",17490,15040,14
"SE.SEC.CUAT.UP.MA.ZS",17490,15031,14.1
"SE.SEC.CUAT.UP.ZS",17490,15026,14.1
"FR.INR.RISK",17490,15012,14.2
"SP.POP.SCIE.RD.P6",17490,15015,14.2
"GC.AST.TOTL.CN",17490,14975,14.4
"SE.PRM.TCAQ.MA.ZS",17490,14966,14.4
"DT.NFL.IAEA.CD",17490,14895,14.8
"IP.IDS.NRCT",17490,14879,14.9
"IP.IDS.RSCT",17490,14878,14.9
"IS.SHP.GCNW.XQ",17490,14862,15
"DT.NFL.PBND.CD",17490,14860,15
"DT.ODA.ODAT.XP.ZS",17490,14832,15.2
"IS.RRS.PASG.KM",17490,14823,15.2
"SL.TLF.PART.FE.ZS",17490,14830,15.2
"SL.TLF.PART.MA.ZS",17490,14830,15.2
"IS.RRS.GOOD.MT.K6",17490,14780,15.5
"SE.SEC.UNER.LO.MA.ZS",17490,14779,15.5
"SE.SEC.UNER.LO.FE.ZS",17490,14767,15.6
"SH.H2O.SMDW.RU.ZS",17490,14757,15.6
"SE.SEC.ENRL.UP.TC.ZS",17490,14737,15.7
"SE.PRM.TCAQ.ZS",17490,14721,15.8
"SL.UEM.ADVN.FE.ZS",17490,14734,15.8
"SL.UEM.ADVN.MA.ZS",17490,14727,15.8
"IS.SHP.GOOD.TU",17490,14697,16
"SE.ADT.LITR.ZS",17490,14686,16
"GC.AST.TOTL.GD.ZS",17490,14676,16.1
"SE.ADT.LITR.FE.ZS",17490,14674,16.1
"SL.TLF.ADVN.FE.ZS",17490,14673,16.1
"SL.TLF.ADVN.MA.ZS",17490,14671,16.1
"SL.TLF.ADVN.ZS",17490,14669,16.1
"VC.IHR.PSRC.FE.P5",17490,14668,16.1
"ER.MRN.PTMR.ZS",17490,14656,16.2
"SL.TLF.INTM.FE.ZS",17490,14648,16.2
"SL.TLF.INTM.MA.ZS",17490,14649,16.2
"SL.UEM.INTM.FE.ZS",17490,14659,16.2
"SL.UEM.INTM.MA.ZS",17490,14651,16.2
"SL.TLF.BASC.FE.ZS",17490,14641,16.3
"SL.TLF.BASC.MA.ZS",17490,14646,16.3
"SL.TLF.BASC.ZS",17490,14643,16.3
"SL.TLF.INTM.ZS",17490,14647,16.3
"SL.UEM.BASC.FE.ZS",17490,14633,16.3
"SL.UEM.INTM.ZS",17490,14631,16.3
"SL.UEM.BASC.MA.ZS",17490,14628,16.4
"SL.UEM.BASC.ZS",17490,14620,16.4
"EN.ATM.PM25.MC.ZS",17490,14598,16.5
"SL.UEM.NEET.FE.ZS",17490,14603,16.5
"SL.UEM.NEET.MA.ZS",17490,14602,16.5
"VC.IHR.PSRC.MA.P5",17490,14608,16.5
"IC.BUS.NREG",17490,14579,16.6
"SE.SEC.ENRL.LO.TC.ZS",17490,14586,16.6
"SL.UEM.NEET.ZS",17490,14582,16.6
"SE.ADT.1524.LT.ZS",17490,14526,16.9
"SE.ADT.1524.LT.FM.ZS",17490,14525,17
"SE.ADT.1524.LT.MA.ZS",17490,14524,17
"SI.POV.DDAY",17490,14510,17
"SI.POV.GAPS",17490,14510,17
"SI.POV.LMIC",17490,14510,17
"SI.POV.LMIC.GP",17490,14522,17
"SI.POV.SOPO",17490,14522,17
"SI.POV.UMIC",17490,14510,17
"SI.POV.UMIC.GP",17490,14522,17
"SI.SPR.PGAP",17490,14516,17
"ST.INT.DPRT",17490,14522,17
"GC.LBL.TOTL.CN",17490,14485,17.2
"SH.HIV.INCD.14",17490,14449,17.4
"SE.SEC.PRIV.ZS",17490,14430,17.5
"SH.SGR.CRSK.ZS",17490,14412,17.6
"SH.SGR.IRSK.ZS",17490,14412,17.6
"NE.GDI.FPRV.CN",17490,14402,17.7
"NY.GDP.DISC.KN",17490,14387,17.7
"SH.HIV.0014",17490,14376,17.8
"SH.STA.SMSS.RU.ZS",17490,14376,17.8
"FM.AST.DOMO.ZG.M3",17490,14359,17.9
