"country","iso3c","total_obs","missing_obs","completeness_rate"
"Upper middle income","",92202,59754,35.2
"Central African Republic","CAF",92202,59650,35.3
"High income","",92202,59695,35.3
"South Asia (IDA & IBRD)","TSA",92202,59630,35.3
"Bahrain","BHR",92202,59531,35.4
"Lebanon","LBN",92202,59574,35.4
"Georgia","GEO",92202,59414,35.6
"Guinea","GIN",92202,59380,35.6
"Syrian Arab Republic","SYR",92202,59353,35.6
"Namibia","NAM",92202,59283,35.7
"Lao PDR","LAO",92202,59239,35.8
"Moldova","MDA",92202,59073,35.9
"Haiti","HTI",92202,59031,36
"Viet Nam","VNM",92202,58960,36.1
"Mozambique","MOZ",92202,58606,36.4
"Kuwait","KWT",92202,58424,36.6
"Latin America & Caribbean","LCN",92202,58454,36.6
"Luxembourg","LUX",92202,58413,36.6
"Oman","OMN",92202,58391,36.7
"Guyana","GUY",92202,58268,36.8
"Nigeria","NGA",92202,58307,36.8
"Saudi Arabia","SAU",92202,58305,36.8
"Chad","TCD",92202,58133,37
"Cambodia","KHM",92202,57966,37.1
"Malawi","MWI",92202,57881,37.2
"Sudan","SDN",92202,57817,37.3
"Japan","JPN",92202,57700,37.4
"Eswatini","SWZ",92202,57649,37.5
"Belgium","BEL",92202,57459,37.7
"Congo, Dem. Rep.","COD",92202,57424,37.7
"Latin America & Caribbean (excluding high income)","LAC",92202,57472,37.7
"Papua New Guinea","PNG",92202,57414,37.7
"Poland","POL",92202,57331,37.8
"Albania","ALB",92202,57282,37.9
"Burundi","BDI",92202,57145,38
"Lower middle income","",92202,57182,38
"Fiji","FJI",92202,57041,38.1
"Venezuela, RB","VEN",92202,56943,38.2
"Mongolia","MNG",92202,56880,38.3
"Gambia, The","GMB",92202,56743,38.5
"Ethiopia","ETH",92202,56596,38.6
"South Asia","SAS",92202,56504,38.7
"Sierra Leone","SLE",92202,56395,38.8
"Belize","BLZ",92202,56254,39
"Gabon","GAB",92202,56266,39
"New Zealand","NZL",92202,56277,39
"Jamaica","JAM",92202,56124,39.1
"Zimbabwe","ZWE",92202,56109,39.1
"China","CHN",92202,55940,39.3
"Iceland","ISL",92202,55982,39.3
"Ireland","IRL",92202,55855,39.4
"Malta","MLT",92202,55802,39.5
"Romania","ROU",92202,55763,39.5
"Hungary","HUN",92202,55561,39.7
"Zambia","ZMB",92202,55472,39.8
"Mauritania","MRT",92202,55446,39.9
"Bulgaria","BGR",92202,55253,40.1
"Austria","AUT",92202,54608,40.8
"Cote d'Ivoire","CIV",92202,54566,40.8
"Cyprus","CYP",92202,54377,41
"Germany","DEU",92202,54409,41
"Australia","AUS",92202,54226,41.2
"Nepal","NPL",92202,54179,41.2
"Lesotho","LSO",92202,54012,41.4
"Rwanda","RWA",92202,54021,41.4
"Switzerland","CHE",92202,53920,41.5
"Algeria","DZA",92202,53819,41.6
"Tanzania","TZA",92202,53732,41.7
"Nicaragua","NIC",92202,53548,41.9
"Uganda","UGA",92202,53598,41.9
"Congo, Rep.","COG",92202,53428,42.1
"Portugal","PRT",92202,53417,42.1
"Greece","GRC",92202,53298,42.2
"Jordan","JOR",92202,53276,42.2
"Panama","PAN",92202,53189,42.3
"Niger","NER",92202,53091,42.4
"Iran, Islamic Rep.","IRN",92202,52987,42.5
"Benin","BEN",92202,52899,42.6
"Botswana","BWA",92202,52894,42.6
"Finland","FIN",92202,52940,42.6
"Mali","MLI",92202,52897,42.6
"Singapore","SGP",92202,52934,42.6
"Israel","ISR",92202,52610,42.9
"Spain","ESP",92202,52568,43
"Burkina Faso","BFA",92202,52506,43.1
"Italy","ITA",92202,52424,43.1
"United States","USA",92202,52347,43.2
"Netherlands","NLD",92202,52276,43.3
"Canada","CAN",92202,52217,43.4
"Denmark","DNK",92202,52177,43.4
"Norway","NOR",92202,52129,43.5
"Togo","TGO",92202,52020,43.6
"United Kingdom","GBR",92202,52008,43.6
"Ghana","GHA",92202,51759,43.9
"France","FRA",92202,51530,44.1
"Madagascar","MDG",92202,51574,44.1
"Sweden","SWE",92202,51446,44.2
"Uruguay","URY",92202,51305,44.4
"Cameroon","CMR",92202,50953,44.7
"Malaysia","MYS",92202,50958,44.7
"Kenya","KEN",92202,50856,44.8
"Bangladesh","BGD",92202,50823,44.9
"Senegal","SEN",92202,50607,45.1
"Mauritius","MUS",92202,50297,45.4
"Sri Lanka","LKA",92202,50208,45.5
"Chile","CHL",92202,49772,46
"El Salvador","SLV",92202,49561,46.2
"Korea, Rep.","KOR",92202,49627,46.2
"Paraguay","PRY",92202,49643,46.2
"South Africa","ZAF",92202,49626,46.2
"Bolivia","BOL",92202,49363,46.5
"Guatemala","GTM",92202,49324,46.5
"Pakistan","PAK",92202,49323,46.5
"Honduras","HND",92202,49205,46.6
"Costa Rica","CRI",92202,49127,46.7
"Philippines","PHL",92202,49026,46.8
"Tunisia","TUN",92202,49076,46.8
"Turkiye","TUR",92202,49081,46.8
"Argentina","ARG",92202,48742,47.1
"Morocco","MAR",92202,48815,47.1
"Thailand","THA",92202,48551,47.3
"Egypt, Arab Rep.","EGY",92202,48397,47.5
"Brazil","BRA",92202,48290,47.6
"Dominican Republic","DOM",92202,48289,47.6
"Ecuador","ECU",92202,48192,47.7
"Indonesia","IDN",92202,48112,47.8
"India","IND",92202,47905,48
"Colombia","COL",92202,46769,49.3
"Mexico","MEX",92202,46548,49.5
"Peru","PER",92202,46305,49.8
